ok,https://doi.org/10.1186/s13742-016-0120-y,"Mitochondrial metagenomics: letting the genes out of the bottle"
ok,https://doi.org/10.1186/s13742-015-0087-0,"Bioboxes: standardised containers for interchangeable bioinformatics software"
ok,https://doi.org/10.1186/s13742-016-0152-3,"Clusterflock: a flocking algorithm for isolating congruent phylogenomic datasets"
ok,"The doi is not found in CrossRef!","G-Anchor: a novel approach for whole-genome comparative mapping utilizing evolutionary conserved DNA sequences"
ok,https://doi.org/10.1186/s13742-016-0120-y,"Mitochondrial metagenomics: letting the genes out of the bottle"
ok,https://doi.org/10.1186/s13742-016-0120-y,"Mitochondrial metagenomics: letting the genes out of the bottle"
ok,https://doi.org/10.1186/s13742-015-0087-0,"Bioboxes: standardised containers for interchangeable bioinformatics software"
ok,https://doi.org/10.1186/s13742-016-0152-3,"Clusterflock: a flocking algorithm for isolating congruent phylogenomic datasets"
ok,"The doi is not found in CrossRef!","G-Anchor: a novel approach for whole-genome comparative mapping utilizing evolutionary conserved DNA sequences"
ok,https://doi.org/10.1186/s13742-016-0120-y,"Mitochondrial metagenomics: letting the genes out of the bottle"
ok,https://doi.org/10.1186/s13742-016-0120-y,"Mitochondrial metagenomics: letting the genes out of the bottle"
ok,https://doi.org/10.1186/s13742-015-0087-0,"Bioboxes: standardised containers for interchangeable bioinformatics software"
ok,https://doi.org/10.1186/s13742-016-0152-3,"Clusterflock: a flocking algorithm for isolating congruent phylogenomic datasets"
ok,"The doi is not found in CrossRef!","G-Anchor: a novel approach for whole-genome comparative mapping utilizing evolutionary conserved DNA sequences"
ok,https://doi.org/10.1186/s13742-016-0120-y,"Mitochondrial metagenomics: letting the genes out of the bottle"
